time,Pipe-T,Ambient-T,Heater-PWM,Fan-PWM,Traj y,Traj dy,Traj ddy,Dist y
1.64,18.482580645161292,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
1.66,18.482580645161292,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
1.68,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
1.7,18.22451612903226,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
1.72,18.86967741935484,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
1.74,18.611612903225808,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
1.76,18.740645161290324,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
1.78,18.353548387096776,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
1.8,18.353548387096776,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
1.82,18.740645161290324,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
1.84,18.353548387096776,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.86,19.127741935483872,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.88,18.22451612903226,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.9,18.482580645161292,19.385806451612904,0.0,0.25,0.0,0.0,0.0,0.25
1.92,17.192258064516132,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.94,18.22451612903226,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
1.96,17.966451612903228,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.98,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
2.0,17.837419354838712,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
2.02,18.482580645161292,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
2.04,18.22451612903226,17.708387096774196,0.0,0.25,0.0,0.0,0.0,0.25
2.06,18.86967741935484,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
2.08,18.22451612903226,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
2.1,19.127741935483872,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
2.12,17.966451612903228,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
2.14,18.095483870967744,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
2.16,18.22451612903226,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
2.18,16.934193548387096,15.51483870967742,0.0,0.25,0.0,0.0,0.0,0.25
2.2,18.22451612903226,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
2.22,18.22451612903226,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
2.24,17.450322580645164,16.547096774193548,0.0,0.25,0.0,0.0,0.0,0.25
2.26,18.86967741935484,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
2.28,18.482580645161292,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
2.3,18.611612903225808,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
2.32,17.966451612903228,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
2.34,19.127741935483872,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
2.36,17.450322580645164,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
2.38,19.772903225806452,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
2.4,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
2.42,18.86967741935484,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.44,18.740645161290324,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.46,17.966451612903228,17.708387096774196,0.0,0.25,0.0,0.0,0.0,0.25
2.48,19.127741935483872,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
2.5,19.385806451612904,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
2.52,18.86967741935484,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
2.54,17.708387096774196,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
2.56,18.482580645161292,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
2.58,17.837419354838712,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
2.6,18.86967741935484,19.643870967741936,0.0,0.25,0.0,0.0,0.0,0.25
2.62,17.966451612903228,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
2.64,16.934193548387096,15.643870967741936,0.0,0.25,0.0,0.0,0.0,0.25
2.66,18.998709677419356,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
2.68,19.127741935483872,19.51483870967742,0.0,0.25,0.0,0.0,0.0,0.25
2.7,17.063225806451616,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.72,18.353548387096776,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
2.74,18.740645161290324,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.76,18.998709677419356,19.51483870967742,0.0,0.25,0.0,0.0,0.0,0.25
2.78,18.86967741935484,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
2.8,18.86967741935484,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
2.82,19.256774193548388,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
2.84,19.385806451612904,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.86,18.998709677419356,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
2.88,18.095483870967744,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
2.9,18.353548387096776,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
2.92,17.450322580645164,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
2.94,17.966451612903228,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
2.96,18.353548387096776,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
2.98,19.772903225806452,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
3.0,19.256774193548388,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
3.02,17.966451612903228,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.04,18.611612903225808,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.06,17.837419354838712,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.08,17.837419354838712,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
3.1,17.450322580645164,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.12,17.966451612903228,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
3.14,17.837419354838712,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.16,18.482580645161292,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
3.18,18.611612903225808,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
3.2,18.998709677419356,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.22,19.127741935483872,19.51483870967742,0.0,0.25,0.0,0.0,0.0,0.25
3.24,18.998709677419356,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.26,17.450322580645164,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
3.28,18.611612903225808,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
3.3,18.998709677419356,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.32,19.127741935483872,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
3.34,18.353548387096776,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
3.36,18.095483870967744,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.38,19.127741935483872,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.4,18.611612903225808,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.42,17.57935483870968,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
3.44,18.86967741935484,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
3.46,19.643870967741936,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.48,18.482580645161292,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
3.5,18.482580645161292,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
3.52,17.966451612903228,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
3.54,17.192258064516132,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
3.56,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
3.58,17.063225806451616,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
3.6,18.611612903225808,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
3.62,18.998709677419356,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
3.64,19.643870967741936,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
3.66,18.998709677419356,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
3.68,18.740645161290324,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
3.7,17.966451612903228,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
3.72,18.482580645161292,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
3.74,18.740645161290324,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
3.76,18.86967741935484,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
3.78,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
3.8,18.611612903225808,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
3.82,17.192258064516132,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
3.84,18.740645161290324,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
3.86,17.708387096774196,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
3.88,18.353548387096776,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
3.9,18.22451612903226,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
3.92,17.450322580645164,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
3.94,19.901935483870968,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
3.96,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
3.98,18.095483870967744,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
4.0,17.450322580645164,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
4.02,19.643870967741936,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
4.04,18.86967741935484,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
4.06,18.740645161290324,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
4.08,18.482580645161292,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
4.1,18.998709677419356,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
4.12,19.256774193548388,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
4.14,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
4.16,18.482580645161292,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.18,18.740645161290324,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
4.2,19.127741935483872,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
4.22,19.385806451612904,19.256774193548388,0.0,0.25,0.0,0.0,0.0,0.25
4.24,18.998709677419356,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.26,18.482580645161292,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.28,18.22451612903226,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.3,17.837419354838712,17.192258064516132,0.0,0.25,0.0,0.0,0.0,0.25
4.32,18.611612903225808,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
4.34,17.837419354838712,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.36,19.51483870967742,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
4.38,17.837419354838712,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
4.4,18.482580645161292,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
4.42,19.127741935483872,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
4.44,18.22451612903226,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
4.46,19.643870967741936,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
4.48,17.708387096774196,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
4.5,17.966451612903228,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
4.52,18.22451612903226,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
4.54,18.095483870967744,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
4.56,18.740645161290324,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
4.58,18.095483870967744,16.547096774193548,0.0,0.25,0.0,0.0,0.0,0.25
4.6,18.740645161290324,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
4.62,18.740645161290324,17.708387096774196,0.0,0.25,0.0,0.0,0.0,0.25
4.64,18.482580645161292,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
4.66,18.482580645161292,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
4.68,18.740645161290324,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
4.7,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
4.72,18.353548387096776,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
4.74,18.22451612903226,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
4.76,17.966451612903228,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
4.78,19.643870967741936,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
4.8,17.837419354838712,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
4.82,18.998709677419356,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
4.84,19.51483870967742,19.256774193548388,0.0,0.25,0.0,0.0,0.0,0.25
4.86,18.482580645161292,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
4.88,18.740645161290324,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
4.9,17.708387096774196,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
4.92,18.22451612903226,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
4.94,19.643870967741936,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
4.96,19.127741935483872,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
4.98,17.450322580645164,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
5.0,19.51483870967742,19.256774193548388,0.0,0.25,0.0,0.0,0.0,0.25
